time_per,pollutant,pd_num,curr,base,ratio,avgratio,maxratio,minratio,sd,n
Month,CO,1,0.29,0.29,1.02,1.03,1.12,0.96,0.07,5
Month,CO,2,0.29,0.29,1,1.01,1.18,0.93,0.1,5
Month,CO,3,0.23,0.27,0.87,0.88,0.96,0.7,0.1,5
Month,CO,4,0.21,0.23,0.91,0.91,0.95,0.87,0.03,5
Month,NO2,1,20.27,20.73,0.98,0.98,1.1,0.91,0.08,5
Month,NO2,2,19.14,21.1,0.91,0.91,1.04,0.8,0.09,5
Month,NO2,3,12.33,17.61,0.7,0.72,0.87,0.51,0.13,5
Month,NO2,4,9,14.11,0.64,0.65,0.75,0.54,0.08,5
Month,O3,1,0.02,0.02,0.99,1,1.11,0.86,0.09,5
Month,O3,2,0.02,0.02,1.08,1.1,1.23,0.89,0.15,5
Month,O3,3,0.03,0.03,1.08,1.1,1.39,0.95,0.18,5
Month,O3,4,0.04,0.03,1.12,1.13,1.28,1.03,0.1,5
Month,PM10,1,2.13,1.11,1.92,1.2,1.47,0.9,0.28,3
Month,PM10,2,1.45,1.35,1.07,0.67,0.86,0.52,0.17,3
Month,PM10,3,0.19,0.9,0.22,0.13,0.14,0.12,0.01,3
Month,PM10,4,0,0.95,0,0,0,0,0,3
Month,PM25,1,18.57,64.61,0.29,0.31,0.5,0.24,0.11,5
Month,PM25,2,26.29,79.51,0.33,0.38,0.6,0.2,0.16,5
Month,PM25,3,5.01,60.68,0.08,0.1,0.16,0.05,0.05,5
Month,PM25,4,3.73,36.83,0.1,0.11,0.13,0.07,0.03,5
Month,SO2,1,0.67,1.2,0.56,0.63,0.89,0.36,0.24,5
Month,SO2,2,0.54,1.07,0.5,0.63,0.82,0.23,0.25,5
Month,SO2,3,0.36,0.69,0.51,0.59,0.95,0.32,0.25,5
Month,SO2,4,0.25,0.35,0.72,0.81,1.36,0.56,0.35,5
Week,CO,1,0.32,0.26,1.22,1.23,1.31,1.08,0.09,5
Week,CO,2,0.24,0.29,0.81,0.83,1.01,0.67,0.14,5
Week,CO,3,0.24,0.3,0.81,0.81,0.94,0.76,0.07,5
Week,CO,4,0.4,0.28,1.41,1.43,1.63,1.25,0.16,5
Week,CO,5,0.29,0.3,0.97,0.98,1.08,0.82,0.12,5
Week,CO,6,0.31,0.31,1.02,1.04,1.17,0.8,0.15,5
Week,CO,7,0.3,0.28,1.07,1.1,1.35,0.82,0.2,5
Week,CO,8,0.27,0.29,0.93,0.95,1.16,0.81,0.16,5
Week,CO,9,0.24,0.27,0.9,0.92,1.11,0.75,0.16,5
Week,CO,10,0.25,0.29,0.84,0.9,1.13,0.54,0.25,5
Week,CO,11,0.24,0.25,0.96,0.99,1.17,0.77,0.18,5
Week,CO,12,0.22,0.25,0.91,0.91,0.98,0.76,0.09,5
Week,CO,13,0.21,0.27,0.79,0.8,0.95,0.72,0.1,5
Week,CO,14,0.21,0.24,0.86,0.86,0.97,0.75,0.08,5
Week,CO,15,0.21,0.25,0.83,0.84,1,0.76,0.1,5
Week,CO,16,0.2,0.22,0.93,0.94,1.06,0.8,0.11,5
Week,CO,17,0.23,0.24,0.97,0.98,1.08,0.81,0.1,5
Week,CO,18,0.22,0.21,1.04,1.04,1.15,0.97,0.07,5
Week,NO2,1,20.34,18.14,1.12,1.12,1.23,1.05,0.07,5
Week,NO2,2,18.53,20.97,0.88,0.91,1.23,0.73,0.19,5
Week,NO2,3,15.65,22.68,0.69,0.7,0.82,0.63,0.07,5
Week,NO2,4,28.14,20.09,1.4,1.42,1.61,1.22,0.18,5
Week,NO2,5,20.7,23.19,0.89,0.92,1.15,0.73,0.17,5
Week,NO2,6,18.65,22.57,0.83,0.84,0.95,0.71,0.1,5
Week,NO2,7,19.58,19.51,1,1.02,1.17,0.91,0.14,5
Week,NO2,8,20.3,20.98,0.97,1,1.24,0.78,0.2,5
Week,NO2,9,15.07,18.32,0.82,0.88,1.11,0.54,0.23,5
Week,NO2,10,15.28,21.14,0.72,0.82,1.28,0.44,0.32,5
Week,NO2,11,12.8,15.61,0.82,0.87,1.11,0.61,0.22,5
Week,NO2,12,10.18,16.8,0.61,0.62,0.72,0.46,0.1,5
Week,NO2,13,10.44,16.97,0.62,0.65,0.99,0.5,0.2,5
Week,NO2,14,7.79,14.46,0.54,0.6,1.03,0.36,0.25,5
Week,NO2,15,8.76,16.32,0.54,0.55,0.67,0.42,0.1,5
Week,NO2,16,8.72,12.76,0.68,0.75,1.05,0.48,0.24,5
Week,NO2,17,10.45,14.1,0.74,0.75,0.9,0.62,0.11,5
Week,NO2,18,8.8,10.03,0.88,0.89,0.98,0.7,0.11,5
Week,O3,1,0.01,0.02,0.75,0.76,0.82,0.64,0.07,5
Week,O3,2,0.02,0.02,0.95,0.98,1.21,0.75,0.17,5
Week,O3,3,0.02,0.01,1.38,1.44,2.01,1.11,0.35,5
Week,O3,4,0.01,0.02,0.74,0.75,0.92,0.59,0.12,5
Week,O3,5,0.02,0.02,1.01,1.03,1.22,0.84,0.14,5
Week,O3,6,0.02,0.02,1.06,1.11,1.62,0.92,0.29,5
Week,O3,7,0.02,0.02,1.11,1.32,2.62,0.78,0.74,5
Week,O3,8,0.02,0.02,1.08,1.11,1.41,0.87,0.23,5
Week,O3,9,0.03,0.03,1.1,1.12,1.39,0.96,0.17,5
Week,O3,10,0.03,0.03,1.15,1.23,1.86,0.96,0.39,5
Week,O3,11,0.03,0.03,1.03,1.06,1.33,0.85,0.2,5
Week,O3,12,0.03,0.03,1,1.01,1.22,0.9,0.12,5
Week,O3,13,0.03,0.03,1.18,1.21,1.5,1,0.21,5
Week,O3,14,0.03,0.03,1.07,1.09,1.32,0.9,0.16,5
Week,O3,15,0.04,0.03,1.28,1.32,1.77,1.02,0.28,5
Week,O3,16,0.04,0.04,1.09,1.09,1.15,1.02,0.06,5
Week,O3,17,0.03,0.03,1.1,1.12,1.43,0.91,0.19,5
Week,O3,18,0.04,0.03,1.07,1.07,1.21,0.97,0.1,5
Week,PM10,1,2,1.2,1.67,1.08,1.33,0.71,0.33,3
Week,PM10,2,2.14,1.2,1.79,1.78,3.75,0.79,1.71,3
Week,PM10,3,1.43,1.46,0.98,0.73,1.25,0.42,0.45,3
Week,PM10,4,3.71,0.97,3.82,1.62,2,1.24,0.54,2
Week,PM10,5,2.57,1.6,1.61,1.2,2,0.64,0.71,3
Week,PM10,6,1.43,1.11,1.28,0.92,1.43,0.5,0.47,3
Week,PM10,7,1,1.03,0.97,0.61,0.78,0.5,0.15,3
Week,PM10,8,1,1.51,0.66,0.47,0.78,0.16,0.44,2
Week,PM10,9,0.43,0.71,0.6,0.39,0.5,0.25,0.13,3
Week,PM10,10,0.86,1.23,0.7,0.47,0.67,0.29,0.19,3
Week,PM10,11,0,0.51,0,0,0,0,0,3
Week,PM10,12,0,0.63,0,0,0,0,0,3
Week,PM10,13,0,1.29,0,0,0,0,0,3
Week,PM10,14,0,0.86,0,0,0,0,0,3
Week,PM10,15,0,1.8,0,0,0,0,0,3
Week,PM10,16,0,1,0,0,0,0,0,3
Week,PM10,17,0,0.4,0,0,0,0,0,3
Week,PM25,1,23.25,38.64,0.6,0.63,0.88,0.44,0.16,5
Week,PM25,2,14.93,56.06,0.27,0.68,1.56,0.1,0.66,5
Week,PM25,3,13.62,97.53,0.14,0.16,0.27,0.1,0.07,5
Week,PM25,4,28.54,75.15,0.38,0.64,1.73,0.22,0.63,5
Week,PM25,5,19.44,78.31,0.25,0.88,3.34,0.1,1.38,5
Week,PM25,6,14.52,113.33,0.13,0.14,0.19,0.09,0.04,5
Week,PM25,7,16.61,45.47,0.37,0.48,0.91,0.22,0.28,5
Week,PM25,8,59.57,73.91,0.81,1.42,3.47,0.35,1.24,5
Week,PM25,9,8.23,62.15,0.13,0.18,0.28,0.06,0.08,5
Week,PM25,10,7.1,117.14,0.06,0.23,0.68,0.03,0.29,5
Week,PM25,11,3.69,35.17,0.1,0.14,0.22,0.06,0.07,5
Week,PM25,12,3.91,30.55,0.13,0.17,0.4,0.07,0.13,5
Week,PM25,13,3.01,54.91,0.05,0.06,0.09,0.04,0.02,5
Week,PM25,14,2.7,30.12,0.09,0.1,0.12,0.06,0.03,5
Week,PM25,15,4.24,57.92,0.07,0.11,0.2,0.03,0.07,5
Week,PM25,16,4.03,24.55,0.16,0.23,0.59,0.13,0.2,5
Week,PM25,17,3.53,41.63,0.08,0.14,0.25,0.05,0.1,5
Week,PM25,18,4.07,16.04,0.25,0.54,1.66,0.11,0.64,5
Week,SO2,1,0.57,1.24,0.46,0.59,1.01,0.24,0.32,5
Week,SO2,2,0.59,1.39,0.42,0.54,1.06,0.21,0.31,5
Week,SO2,3,0.45,1.21,0.37,0.41,0.59,0.26,0.15,5
Week,SO2,4,1.05,0.94,1.12,1.26,2.19,0.78,0.55,5
Week,SO2,5,0.59,1.36,0.43,0.49,0.74,0.26,0.19,5
Week,SO2,6,0.39,1.02,0.38,0.45,0.62,0.19,0.17,5
Week,SO2,7,0.64,1.04,0.62,0.83,1.4,0.32,0.46,5
Week,SO2,8,0.8,0.98,0.82,1.48,2.53,0.28,0.86,5
Week,SO2,9,0.37,0.93,0.39,0.54,0.98,0.18,0.29,5
Week,SO2,10,0.52,0.98,0.53,0.76,1.7,0.27,0.55,5
Week,SO2,11,0.33,0.62,0.53,0.63,1.12,0.36,0.32,5
Week,SO2,12,0.28,0.73,0.38,0.41,0.6,0.28,0.14,5
Week,SO2,13,0.28,0.43,0.64,0.68,0.94,0.46,0.18,5
Week,SO2,14,0.23,0.43,0.54,0.67,1.42,0.35,0.43,5
Week,SO2,15,0.15,0.46,0.32,0.47,1.15,0.18,0.39,5
Week,SO2,16,0.33,0.3,1.11,1.56,3.74,0.65,1.25,5
Week,SO2,17,0.24,0.26,0.93,1.21,2.33,0.54,0.73,5
Week,SO2,18,0.3,0.19,1.56,1.8,3.41,1.22,0.92,5
